source,title,content,language,collected_at,clean_content,tokens
VNExpress,Chàng trai khổ luyện 300 ngày để 'sở hữu' cơ thể dị dạng,"MỹĐi ngược chuẩn mực thẩm mỹ, một thanh niên 20 tuổi dành hơn 300 ngày chỉ rèn luyện nhóm cơ vai trái nhằm khiến cơ thể trở nên bất đối xứng, bất chấp cảnh báo y khoa về tình trạng lệch cột sống.",vi,2026-01-16 22:11:16.079742,mỹđi ngược chuẩn mực thẩm mỹ một thanh niên tuổi dành hơn ngày chỉ rèn luyện nhóm cơ vai trái nhằm khiến cơ thể trở nên bất đối xứng bất chấp cảnh báo y khoa về tình trạng lệch cột sống,mỹđi ngược chuẩn_mực thẩm_mỹ một thanh_niên tuổi dành hơn ngày chỉ rèn_luyện nhóm cơ_vai trái nhằm khiến cơ_thể trở_nên bất_đối_xứng bất_chấp cảnh_báo y_khoa về tình_trạng lệch cột_sống
VNExpress,"Uống 2 cốc trà sữa mỗi ngày, cô gái 26 tuổi phải chạy thận cả đời","Trung QuốcXiao Han, nữ nhân viên văn phòng, suy kiệt chức năng thận và buộc phải lọc máu suốt đời sau thời gian dài uống hai ly trà sữa mỗi ngày để giải tỏa áp lực công việc.",vi,2026-01-16 22:11:16.079771,trung quốcxiao han nữ nhân viên văn phòng suy kiệt chức năng thận và buộc phải lọc máu suốt đời sau thời gian dài uống hai ly trà sữa mỗi ngày để giải tỏa áp lực công việc,trung_quốcxiao han nữ nhân_viên văn_phòng suy_kiệt chức_năng thận và buộc phải lọc máu suốt đời sau thời_gian dài uống hai ly trà sữa mỗi ngày để giải_tỏa áp_lực công_việc
VNExpress,Trực thăng bay xuyên đêm cứu chàng trai hôn mê ở Trường Sa,"Nam thanh niên 20 tuổi sốt cao, co giật rồi hôn mê sâu tại đảo Sinh Tồn, được trực thăng đưa về Bệnh viện Quân y 175 sau hành trình bay thấp để bảo vệ não.",vi,2026-01-16 22:11:16.079800,nam thanh niên tuổi sốt cao co giật rồi hôn mê sâu tại đảo sinh tồn được trực thăng đưa về bệnh viện quân y sau hành trình bay thấp để bảo vệ não,nam thanh_niên tuổi sốt cao co_giật rồi hôn_mê sâu tại đảo sinh_tồn được trực_thăng đưa về bệnh_viện quân_y sau hành_trình bay thấp để bảo_vệ não
VNExpress,Bé trai 13 tuổi xuất huyết não sau 20 phút ngâm bồn nước nóng,"Trung QuốcSau khi ngâm mình trong bồn nước nóng gần 40 độ C, thiếu niên ở tỉnh Hà Nam, mất ý thức và rơi vào hôn mê, được chẩn đoán xuất huyết nội sọ.",vi,2026-01-16 22:11:16.079827,trung quốcsau khi ngâm mình trong bồn nước nóng gần độ c thiếu niên ở tỉnh hà nam mất ý thức và rơi vào hôn mê được chẩn đoán xuất huyết nội sọ,trung_quốcsau khi ngâm mình trong bồn nước nóng gần độ c thiếu_niên ở tỉnh hà_nam mất ý_thức và rơi vào hôn_mê được chẩn_đoán xuất_huyết nội sọ
VNExpress,Thời tiết 'sáng rét trưa nóng' kích hoạt cơn đột quỵ,"Mạch máu co lại khi gặp lạnh buổi sáng và giãn nhanh lúc nắng lên gây dao động huyết áp, tăng gánh nặng lên tim, dễ dẫn đến đột quỵ ở người già, người có bệnh nền.",vi,2026-01-16 22:11:16.079868,mạch máu co lại khi gặp lạnh buổi sáng và giãn nhanh lúc nắng lên gây dao động huyết áp tăng gánh nặng lên tim dễ dẫn đến đột quỵ ở người già người có bệnh nền,mạch_máu co lại khi gặp lạnh buổi sáng và giãn nhanh lúc nắng lên gây dao_động huyết_áp tăng gánh nặng lên tim dễ dẫn đến đột_quỵ ở người già người có bệnh nền
VNExpress,Mảnh giấy viết tay kéo vợ đột quỵ từ cõi chết trở về,"Trong căn phòng cấp cứu trắng toát tại bệnh viện thành phố Ufa, Cộng hòa Bashkortostan (Nga), sự im lặng đôi khi đáng sợ hơn cả tiếng máy thở.",vi,2026-01-16 22:11:16.079895,trong căn phòng cấp cứu trắng toát tại bệnh viện thành phố ufa cộng hòa bashkortostan nga sự im lặng đôi khi đáng sợ hơn cả tiếng máy thở,trong căn phòng cấp_cứu trắng_toát tại bệnh_viện thành_phố ufa cộng hòa bashkortostan nga_sự im_lặng đôi_khi đáng sợ hơn cả tiếng máy thở
VNExpress,Hội chứng khiến chồng không muốn gần gũi vợ sau sinh,"6 tháng sau khi đón con đầu lòng, anh Minh bỗng kiệt sức, cáu bẳn và sợ hãi chuyện chăn gối - dấu hiệu của cơn ""bão"" nội tiết tố mà ít ông chồng nào ngờ tới.",vi,2026-01-16 22:11:16.079924,tháng sau khi đón con đầu lòng anh minh bỗng kiệt sức cáu bẳn và sợ hãi chuyện chăn gối dấu hiệu của cơn bão nội tiết tố mà ít ông chồng nào ngờ tới,tháng sau khi đón con đầu_lòng anh minh bỗng kiệt_sức cáu_bẳn và sợ_hãi chuyện chăn_gối dấu_hiệu của cơn bão nội_tiết_tố mà ít ông chồng nào_ngờ tới
VNExpress,Tập thể dục thời điểm nào giúp giảm mỡ nội tạng tốt nhất?,"Tập luyện giúp giảm mỡ nội tạng nguy hiểm, nhưng thói quen dài hạn quan trọng hơn ""giờ hoàng đạo"".",vi,2026-01-16 22:11:16.079950,tập luyện giúp giảm mỡ nội tạng nguy hiểm nhưng thói quen dài hạn quan trọng hơn giờ hoàng đạo,tập_luyện giúp giảm mỡ nội_tạng nguy_hiểm nhưng thói_quen dài_hạn quan_trọng hơn giờ hoàng_đạo
VNExpress,Bí quyết giúp mỹ nhân xứ Đài có vóc dáng thiếu nữ ở tuổi 43,"Trung QuốcNữ diễn viên Trần Ý Hàm giữ gìn vóc dáng cùng cơ thể khỏe khoắn nhờ kết hợp thực đơn nguyên bản, duy trì thói quen yoga chuyên sâu và chạy bộ đúng kỹ thuật.",vi,2026-01-16 22:11:16.079977,trung quốcnữ diễn viên trần ý hàm giữ gìn vóc dáng cùng cơ thể khỏe khoắn nhờ kết hợp thực đơn nguyên bản duy trì thói quen yoga chuyên sâu và chạy bộ đúng kỹ thuật,trung_quốcnữ diễn_viên trần ý_hàm giữ_gìn vóc_dáng cùng cơ_thể khỏe_khoắn nhờ kết_hợp thực_đơn nguyên_bản duy_trì thói_quen yoga chuyên_sâu và chạy bộ đúng kỹ_thuật
VNExpress,Xịt nước hoa có giúp tránh mắc bệnh vùng kín cho nam giới?,"Có đúng xịt nước hoa vùng kín sẽ giúp tăng ham muốn và giảm nguy cơ mắc bệnh tình dục cho nam giới? (Trương Hoàn Nguyên, 26 tuổi, Cần Thơ)",vi,2026-01-16 22:11:16.080003,có đúng xịt nước hoa vùng kín sẽ giúp tăng ham muốn và giảm nguy cơ mắc bệnh tình dục cho nam giới trương hoàn nguyên tuổi cần thơ,có đúng xịt nước_hoa vùng kín sẽ giúp tăng ham muốn và giảm nguy_cơ mắc bệnh tình_dục cho nam giới_trương hoàn_nguyên tuổi cần thơ
